,02_95stain1-120716_S2_merged_R1.fastq.gz.fq.gzAligned.sortedByCoord.out.down_sampled
3primeUtr,1
5primeUtr,2
ENSG00000000419.12,3
ENSG00000000460.16,4
ENSG00000001036.13,5
ENSG00000001460.17,6
ENSG00000001461.16,7
ENSG00000001497.16,8
ENSG00000001630.15,9
ENSG00000001631.14,10
ENSG00000002016.16,11
ENSG00000002330.13,12
ENSG00000002549.12,13
ENSG00000002587.9,14
ENSG00000002822.15,15
ENSG00000002834.17,16
ENSG00000002919.14,17
ENSG00000003147.17,18
ENSG00000003393.14,19
ENSG00000003402.19,20
ENSG00000003436.14,21
ENSG00000003756.16,22
ENSG00000003987.13,23
ENSG00000004059.10,24
ENSG00000004142.11,25
ENSG00000004455.16,26
ENSG00000004487.15,27
ENSG00000004534.14,28
ENSG00000004700.15,29
ENSG00000004766.15,30
ENSG00000004779.9,31
ENSG00000004864.13,32
ENSG00000004866.18,33
ENSG00000004897.11,34
ENSG00000004961.14,35
ENSG00000005007.12,36
ENSG00000005020.12,37
ENSG00000005022.5,38
ENSG00000005059.15,39
ENSG00000005075.15,40
ENSG00000005175.9,41
ENSG00000005187.11,42
ENSG00000005189.19,43
ENSG00000005194.14,44
ENSG00000005206.16,45
ENSG00000005249.12,46
ENSG00000005339.12,47
ENSG00000005436.13,48
ENSG00000005448.16,49
ENSG00000005469.11,50
ENSG00000005483.19,51
ENSG00000005486.16,52
ENSG00000005700.14,53
ENSG00000005801.16,54
ENSG00000005889.15,55
ENSG00000005893.15,56
ENSG00000005961.17,57
ENSG00000006007.11,58
ENSG00000006015.17,59
ENSG00000006042.11,60
ENSG00000006062.13,61
ENSG00000006125.16,62
ENSG00000006194.9,63
ENSG00000006327.13,64
ENSG00000006451.7,65
ENSG00000006453.13,66
ENSG00000006459.10,67
ENSG00000006468.13,68
ENSG00000006534.15,69
ENSG00000006576.16,70
ENSG00000006625.17,71
ENSG00000006634.7,72
ENSG00000006638.11,73
ENSG00000006652.13,74
ENSG00000006695.10,75
ENSG00000006712.14,76
ENSG00000006757.11,77
ENSG00000007038.10,78
ENSG00000007047.14,79
ENSG00000007080.10,80
ENSG00000007168.12,81
ENSG00000007202.14,82
ENSG00000007255.10,83
ENSG00000007264.13,84
ENSG00000007341.18,85
ENSG00000007372.20,86
ENSG00000007392.16,87
ENSG00000007520.3,88
ENSG00000007541.14,89
